scientific_name,common_name,type_of_cancer,components,compound,part,region_found,reference,image,fda_approved_drug
Cleistanthus collinus,"Garari,Vadisaaku,Oduvanthalai,Odaku",Cervical carcinoma,Glycoside,"Cleistanthin, Collinusin",Leaves,Deciduous dry hilly forests of South India,https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Cleistanthus collinus.jpeg,
Clerodendrum inerme,Bharangi /Seaside clerodendrum,Lung cancer,"Alkaloids,Flavonoids,Glycosides,Sterols","Sitosterol ,stigmasterol,phenolic acids,tannins",Leaves,Eastern and southern coastlines in india,https://pubmed.ncbi.nlm.nih.gov/17139399/,Clerodendrum inerme.jpeg,
Clerodendrum serratum,Bharangi,Lung cancer,"Alkaloids,Flavonoids,Terpenoids,Tannins,Glycosides","D-mannitol, hispidulin, cleroflavone,apigenin, scutellarein, serratagenic acid, acteoside, verbascoside, oleanolic acid,clerodermic acid, γ-sitosterol, β-sitosterol, cholestanol, clerosterol, campesterol, and 24-ethylcholesterol","Roots , leaves",Western Ghats of India.,https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Clerodendrum serratum.jpeg,
Coix lacryma-jobi,Job’s tears,Colorectal and lung cancer,Phytosterol,Trans-feruloyl stigmasterol,Seed,Northeastern hill tracts of India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Coix lacryma-jobi.jpeg,
Colchicum autumnale,"Autumn crocus, meadow saffron, naked boys or naked ladies",Breast cancer,Alkaloid,Colchicine,Seed and flower,Southern India,https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Colchicum autumnale.jpeg,
Colchicum luteum,Indian Colchicum or Suranjan,Myeloid Leukemia,Alkaloid,Colchicines demecolcine,Roots and seeds,"Temperate western Himalayas from Kashmir to Chamba, at altitudes ranging from 700 m to 2800 m",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Colchicum luteum.jpeg,
Coleus forskohlii,"Garmalu, Patharchur, Garmai ",Human Acute Myeloid Leukemia,Diterpene,"Forskolin (E, F, G, H, I, J, L)",Roots,"Tamil Nadu, Karnataka, Maharashtra, Uttar Pradesh, Kumaon, Nepal, Deccan peninsula, Gujarat, and Bihar",https://doi.org/10.1007/978-981-13-7248-8,Coleus forskohlii.jpeg,
Combretum caffrum,"Madhumalati,Rangoon Creeper, Burma creeper",Myeloid Leukemia,Phenols,Combretastatin,Bark,"Tropical to subtropical regions, in semiarid to wet tropical regions",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Combretum caffrum.jpeg,
Commiphora mukul,Guggulu,Human Prostate Cancer,Lipid,"Guggulsterone,Gugulipid",Bark,"Rajasthan, Gujarat, Madhya Pradesh and Karnataka",https://pubmed.ncbi.nlm.nih.gov/21115635/,Commiphora mukul.jpeg,
Coscinium fenestratum,"Jhar-haldi, Daruharidra","Lung cancer,colorectal,leukemia",Alkaloids,"Berberine,Columbin,Palmatine,Magnoflorine,Coptisine",Leaves,Western Ghats region of India.,https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Coscinium fenestratum.jpeg,
Crocus sativus,"Saffron, autumn crocus",Lung cancer,"Monoterpenoid ,carotenoid ","Safranal, Crocetin, Crocin",Aqueous extract of petals,Pampore region of Srinagar and Kishtwar district of Jammu and Kashmir,https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Crocus sativus.jpeg,
Curculigo orchioides,Kali Musli,"Human cervical cancer,prostate cancer","Flavone glycosides,alkaloid","curculigo saponins, curculigosides,orcinol glycoside, corchio-side A, hentriacontanol,lycorine",Stem(rhizomes),"Western Ghats, Eastern Ghats, the Himalayan region, and parts of central and southern India",https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Curculigo orchioides.jpeg,
Curcuma longa,"Turmeric,golden spice","Colorectal Neoplasia, Lung cancer","Polyphenol,glycosides","Tumerone, curcumine",Rhizomes,"Andhra Pradesh, Tamil Nadu, Orissa, Karnataka, West Bengal, Gujarat, Meghalaya, Maharashtra, Assam ",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Curcuma longa.jpeg,
Cymbopogon flexuosus,Lemon grass oil,"Breast Cancer,Colon Cancer,Prostate Cancer","Citral,Geraniol,Limonene,Citronellal,Myrcene,Linalool","Lipids,monoterpene aldehyde,terpene",Leaves,"Kerala, Karnataka, Tamil Nadu, Andhra Pradesh, Western Ghats, Assam and Meghalaya",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Cymbopogon flexuosus.jpeg,
Cynanchum auriculatum,"Heart-leaf swallow-wort, White he shou wu",Lung cancer and gastric cancer,Steroidal glycosides,Caudatin,Root,"The northern parts of India, including Kashmir",https://link.springer.com/book/10.1007/978-981-32-9147-8,Cynanchum auriculatum.jpeg,
Cynodon dactylon,Grass,Liver cancer,"Alkaloid,Vitamins ,Minerals,Proteins,Carbohydrates","Sugars, starches, cellulose,Lignin","Leaves,Rhizomes,Whole Plant",Tropical and subtropical regions,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Cynodon dactylon.jpeg,
Cyperus rotundus,"Musta, Nutgrass roots","Breast, cervical and liver cancer","Sesquiterpenes, flavonoids, phenylpropanoids, phenolic acids, alkaloids, and saponins","α-Cyperone, myrtenol, caryophyllene oxide, β-pinene, Sesquiterpenes",Rhizome,Throughout India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Cyperus rotundus.jpeg,
Decalepis hamiltonii,Swallow Root or Maredu Kommulu,Lung cancer,"Alkaloids,Triterpenoids,Flavonoids, Glycosides","Decalesides,Decalepin",Roots,Eastern and Western Ghats of peninsular India.,https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Decalepis hamiltonii.jpeg,
Deeringia amaranthoides,"Kalalori, Latman, Wali",Breast and prostate cancer,Triterpene glycosides,"Gallic acid, Saponins",Fruits,"The entire Himalaya, NE India, and South India",https://link.springer.com/book/10.1007/978-981-32-9147-8,Deeringia amaranthoides.jpeg,
Diospyros peregrina,"Gab, kata gab",Breast and lug cancer,"Glycerides,saponin, triterpenes, fatty oil","β-sitosterol, α leuconanthocyanin, betulinic acid, myricyle alcohol",Stem and leaves,Western Ghats,https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Diospyros peregrina.jpeg,
Duchesnea indica,"Mock strawberry, Indian strawberry","Esophageal, cervical, ovarian, and skin cancer",Flavone,"Gallic acid, D-Xylose, Lectin",Entire plant,"Assam, Kashmir, and Manipur",https://link.springer.com/book/10.1007/978-981-32-9147-8,Duchesnea indica.jpeg,
Dysoxylum binectariferum,"Kadu gandha,Agurivagil, Cambil,Savank,white cedar",Chronic Lymphocytic Leukemia,Chromone alkaloid,Rohitukine,Leaves and bark,"Sikkim, Arunachal Pradesh, Assam, Tripura, Meghalaya, Maharashtra, Goa, Daman & Diu, Karnataka, Tamil Nadu, Kerala, the Andaman & Nicobar Islands",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Dysoxylum binectariferum.jpeg,
Echinacea purpurea,"Purple coneflower, Missouri snakeroot, and broad-leaf cone flower",Human pancreatic cancer and colon cancer,Phenylpropanoid,Cichoric acid,Root extracts,Jammu and Kashmir,https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Echinacea purpurea.jpeg,
Eclipta alba,"Bhringraj, Maka bhangra",Bone cancer,Triterpenoids,"β-Amyrin, Luteolin-7-O-glucoside, Hentriacontanol, Stigmasterol","Root, leaf, flower","Assam, Bihar, Uttar Pradesh, and Manipur",https://link.springer.com/book/10.1007/978-981-32-9147-8,Eclipta alba.jpeg,
Eclipta prostrata,False daisy,Gastrointestinal cancer,Coumestan,"Wedelolactone, Eclalbasaponin","Aerial parts, Seeds, Roots",Warm temperate to tropical areas,https://link.springer.com/book/10.1007/978-981-32-9147-8,Eclipta prostrata.jpeg,
Elephantopus scaber,"Adhomukha, Prickly-leaved elephant’s foot",Human breast cancer,Sesquiterpene lactone,"Scabertopin, isoscabertopin, deoxyelephantopin, and isodeoxyelephantopin",Ethanolic extract,The Western Ghats and the forest of Achanakmar in Chhattisgarh,https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Elephantopus scaber.jpeg,
Elettaria cardamomum,Cardamom,Breast cancer,Phenolic,"α-terpinyl acetate, linalyl acetate, limonene, 1, 8-cineole, sabinene and linalool",Seed,"Western Ghats of Kerala, Karnataka, and Tamil Nadu",https://www.florajournal.com/archives/2018/vol6issue2/PartB/7-1-27-280.pdf,Elettaria cardamomum.jpeg,
Emblica officinalis,Amla,"Colon, prostate cancer","Phytochemicals, vitamins, minerals, and antioxidants","Ascorbic acid,tannins, flavonoids,ellagitannins,alkaloids, phenolics,saponins,calcium, phosphorus, iron, and magnesium","Seed, fruit",Across India,https://japer.in/article/biological-activities-of-some-indian-medicinal-plants,Emblica officinalis.jpeg,
Emilia sonchifolia,"Lilac tassel flower, Cupid’s shaving brush",Cervical and pancreatic cancer,Alkaloids,"Pyrrolizidine, 2.4-Diethoxy-6-hydroxy8-formyl 3oxabicyclo[4.3.0]-cyclononan-7-ene, Caryophyllene oxid, 5-Fluorouracil",Apical part,"Andhra Pradesh, Karnataka, Kerala, Odisha, Maharashtra, Tamil Nadu, Himalayas, up to 2100 m",https://link.springer.com/book/10.1007/978-981-32-9147-8,Emilia sonchifolia.jpeg,
Eruca sativa,Diplotaxis,Melanoma tumor growth,"Vitamins,Minerals,Antioxidants,Nitrate,flavonoids","Glucosinolates ,isothiocyanates,beta-carotene, lutein, zeaxanthin",Leaves,Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancerr,Eruca sativa.jpeg,
Eugenia jambos,Rose apple,Prostate and breast cancer,Ellagitannins,"1-O-galloyl castalagin, Casuarinin",Leaves,South India and West Bengal,https://link.springer.com/book/10.1007/978-981-32-9147-8,Eugenia jambos.jpeg,
Eulophia campestris,Salam,Breast cancer,"Alkaloids,Terpenoids,Polyphenols,glycosides","Saponins,monoterpenes, sesquiterpenes, diterpenes,Tannins",Tubers/rhizomes,Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Eulophia campestris.jpeg,
Euphorbia antiquorum,Cactus,Breast cancer,Triterpene,"β-amyrin, cycloartenol",Leaves,Throughout peninsular India,https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Euphorbia antiquorum.jpeg,
Euphorbia hirta,"Chara, amampatchaiaraisi",Lung cancer,"Flavonoids,Tannins,Alkaloids,Terpenoids","Quercetin,Euphorbin,Kaempfero,Gallic acid,Quercitrin","Leaves,Roots,Latex","Across India, including southern, eastern, western, central, and northeastern states, as well as the Andaman and Nicobar Islands",https://www.plantsjournal.com/archives/2015/vol3issue6/PartA/3-5-33.pdf,Euphorbia hirta.jpeg,
Eurycoma longifolia,Pasak bumi,"Lung, breast, and cervical malignancies","Alkaloids,flavonoids","Quassinoids, tannins, phenolic acids, and saponins",Roots,Tropical and subtropical regions,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancerr,Eurycoma longifolia.jpeg,
Fagopyrum esculentum,"Buckwheat, Kutu ",Breast and Liver cancer,Flavonoid,Rutin,Seeds and leaves,"Northeastern states: Sikkim, Arunachal Pradesh, Manipur, Nagaland, and MeghalayaHimalaya",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Fagopyrum esculentum.jpeg,
Ficus benghalensis,Banyan,Breast cancer,Glycoside,"Leucopelargonidin-3-0-αLrhamnoside, Leuco cynidin 3-0-α-D galactosyl cellobioside, Beta 19-20 sitosterolalpha-D-glucose",Bark,"Bengal, South India, and West India",https://link.springer.com/book/10.1007/978-981-32-9147-8,Ficus benghalensis.jpeg,
Ficus hispida,Katgularia,Human breast cancer,Glucoside,Quercetin 3-O-glucoside,Bark,Western Ghats of India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Ficus hispida.jpeg,
Ficus religiosa,"Pepal, Ashwatha",Human breast cancer,"Flavonoids, phenolic","Kaempeferol, quercetin, myricetin, luteolin",Leaves,Throughout India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Ficus religiosa.jpeg,
Ficus retusa,Indian laurel fig,Lung cancer and leukemia,"Phenol, flavonoid, flavone glucoside","Retusaphenol, Retusa afzelechin, Luteolin, Afzelechin, catechin, Sitosterol, Amyrin, Vitexin, Amyrin acetate, Moretenone, Friedelenol",Apical part,"Assam, West Bengal, and the Andaman and Nicobar Islands ",https://link.springer.com/book/10.1007/978-981-32-9147-8,Ficus retusa.jpeg,
Ginkgo biloba,Maidenhair tree,"Lung cancer, Hepatocellular carcinoma, Gastric cancer, Breast cancer, Colorectal cancer, and Cervical cancer",Terpenoid,"Ginkgolide-B, A, C, and J",Leaves extract,"Uttarakhand(Dehradun, Nainital, Mussoorie, and Ranikhet), Himachal Pradesh(Kalpa and Manali)",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Ginkgo biloba.jpeg,
Gloriosa superba,Flame lily or Karibari,Lung cancer,"Alkaloids,glucoside","Colchicine,gloriosine,isoperlolyrine,β-sitosterol,2-hydroxy 6-methoxy benzoic acid","Rhizomes,Flowers,Leaves","Kerala, Tamil Nadu, Karnataka, Andhra Pradesh, Telangana, Maharashtra",https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Gloriosa superba.jpeg,
Glycyrrhiza glabra,Licorice or mulethi,Colon cancer,"Glycyrrhizin,Flavonoids,Coumarins,Polysaccharides,Sterols and Sterol Glycosides","Liquiritin,liquiritigenin,glycyrol, umbelliferone,sterol glycosides","Root,leaves","Rajasthan, Gujarat, Uttar Pradesh, and Punjab",https://japer.in/article/biological-activities-of-some-indian-medicinal-plants,Glycyrrhiza glabra.jpeg,
Gossypium barbadense,Egyptian cotton,"Cervical, Breast and Colon cancer",Polyphenol,Gossypol,"Leaves, seed, root",Central and western India,https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Gossypium barbadense.jpeg,
Gymnema sylvestre,"Gurmar, Madhunashini",Breast Cancer and Lung Cancer,Lipid,Silvesterol,Fruits,"Andaman & Nicobar Islands. Evergreen or semievergreen forests of Middle and S. Andamans, Long and Havelock Islands",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Gymnema sylvestre.jpeg,
Hedychium spicatum,Kapur Kachari,"Lung, colon, breast, cervical cancer","Essential Oils,Ketones,Phenolic Compounds.Alkaloids,Terpenoids","Terpenes, sesquiterpenes,monoterpenes,hedychilactone,spicatolactone",Rhizome,"Uttarakhand, Himachal Pradesh, Sikkim, Arunachal Pradesh, and parts of Jammu and Kashmir.",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Hedychium spicatum.jpeg,
Helicteres isora,"Avartani, Marodphali, Marorphali, Enthani ","Human lung cancer, human breast cancer",Alkaloids and flavonoids,"5,8-dihydroxy-7,4 flavones, herbacetin-8-O-glucoronide (hibifolin), and kaempferol-3-O-galactoside (trifolin)",Dried fruits solvent extract,"Dry forests in central and western India, from Bihar to Jammu and the Western Peninsula",https://doi.org/10.12980/apjtb.4.2014c872,Helicteres isora.jpeg,
Hemidesmus indicus,Indian Sarsaparilla or Ananthamoola,Breast cancer,"Flavonoids,Alkaloids,Tannins, glycosides ","Saponins, polyphenolic compounds,Coumarins,Phytosterols",Roots,"Tamil Nadu, Karnataka, Andhra Pradesh, Telangana, Maharashtra, Uttar Pradesh",https://www.semanticscholar.org/paper/Micropropagation-and-Conservation-of-Selected-from-Swamy-Paramashivaiah/2487946963df88eb7ae30ab15431e277a6483cd5,Hemidesmus indicus.jpeg,
Hibiscus cannabinus,"Indian-hemp, Kenaf, and Mesta","Human cervical cancer, breast cancer","Polyphenols, flavonoids","Kaempferol, vanillic acid, syringic acid, caffeic acid, gallic acid, p-hydroxybenzoic acid, p-coumaric, and ferulic acid","Leaves, seed",North Eastern states,https://doi.org/10.1007/978-981-13-7248-3,Hibiscus cannabinus.jpeg,
Hippophae rhamnoides,Sea Buckthorn,Lymphatic leukemia,"Flavonoids, carotenoids, vitamins, tannins, titerpenes, stearic, and oleic acid","Isorhamnetin, quercetin glycosides, and kaempferol,  malic acid","Fruits, leaves, bark","Cold desert regions of Ladakh, Himachal Pradesh, and Uttarakhand",https://doi.org/10.1016/j.jaim.2015.09.001,Hippophae rhamnoides.jpeg,
Holoptelea integrifolia,Indian elm,Intestinal cancer and bladder cancer,"Phytosterol, triterpenoid","Beta-sitosterol, Friedlin",Bark,Throughout India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Holoptelea integrifolia.jpeg,
Hygrophila auriculata,"Gokulakanta, Neeramulli",Prostate cancer,"Triterpenoid, phytosterol","Lupeol, Stigmasterol, Lupenone",Leaves,"Troughout India in marshes, plains",https://link.springer.com/book/10.1007/978-981-32-9147-8,Hygrophila auriculata.jpeg,
Hygrophila spinosa,"Gokshura,Kokilaksha",Bone cancer,"Alkaloids,Flavonoids,Tannins,Glycosides,Phytosterols",Saponins,"Seeds,Roots,Leaves",Throughout India,https://www.researchgate.net/publication/288644518_Anti-tumor_potency_and_toxicology_of_an_Indian_ayurvedic_plant_Hygrophila_spinosa,Hygrophila spinosa.jpeg,
Hypericum perforatum,Basanti,"Breast cancer, colon cancer, malignant melanoma","Acyl phloroglucinols, flavonoids, xanthones,and n-alkanols","Hypericin, hyperforin",Flowers,"Himalayas at altitudes of 1200–2400 meters, in the northeast region, and in the Western Ghats from 800–2500 meters",https://doi.org/10.1016/j.jaim.2015.09.001,Hypericum perforatum.jpeg,
Indigofera aspalathoides,Sivanarvembu,Liver tumors,Flavonoid,Cianidanol,"Leaves, stems, and seeds",Southern India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Indigofera aspalathoides.jpeg,
Ipomoea bahiensis,Krishnabija,"Breast cancer,Sarcoma cancer","Alkaloid,flavonoids, glycosides,Terpenoids","Saponin,ergot alkaloids,lysergic acid derivatives","Leaves,,Whole Plant,Roots,Seeds",Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Ipomoea bahiensis.jpeg,
Isodon japonicus,Japonica,"Ovarian, breast, colorectal, laryngeal, leukemia, liver, and prostate cancers","Diterpenoid, flavonoid","Maoyecrystal 1, Oridonin, Rabdosin B, Epinodosin, Lasiokaurin, Ponicidin, Shikokianin",Leaves,Jammu & Kashmir,https://link.springer.com/book/10.1007/978-981-32-9147-8,Isodon japonicus.jpeg,
Ixora coccinea,Chekki,"Ovary, breast cancer","Flavonoids,Alkaloids,Terpenoids","Tannins,Anthocyanins",Flowers,"Kerala, Karnataka, Maharashtra, and West Bengal",https://www.plantsjournal.com/archives/2015/vol3issue6/PartA/3-5-33.pdf,Ixora coccinea.jpeg,
Janakia arayalpathra,Amrithapala,Breast cancer,Flavonoid,Apigenin,Root,Western Ghats region of Kerala,https://link.springer.com/book/10.1007/978-981-32-9147-8,Janakia arayalpathra.jpeg,
Jasminum grandiflorum,Mulla,Breast cancer,"Triterpenoids,Flavonoids,Phenolic acids","Jasmone,Benzyl acetate,Linaloo,Methyl anthranilate,Benzyl benzoate",Flower,"Tamil Nadu Karnataka,Kerala,Andhra Pradesh,Maharashtra,Gujarat,West Bengal,Odisha,Madhya Pradesh,Uttar Pradesh",https://www.plantsjournal.com/archives/2015/vol3issue6/PartA/3-5-33.pdf,Jasminum grandiflorum.jpeg,
Jatropha curcas,"Danti, ratanjot, Purging nut",Human cervix carcinoma,Diterpenes,"Jatrophadiketone A, 18-hydroxyjatrophadiketone, 2-epi-macroripremyrsinone A, 7-hydroxyjatropholone A, and 7-hydroxyjatropholone B",Roots,Throughout India,https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Jatropha curcas.jpeg,
Juniperus communis,"Aaraar, haubera, abhal",Lung cancer,Glycoside,Teniposide and etoposie,"Plant extract, rhizome","Himalayas in India at altitudes of 1500–4000 meters above sea level.Jammu and Kashmir, Ladakh, Lahaul, Spiti, and Kinnaur of Himachal Pradesh and Uttrakhand",https://www.researchgate.net/profile/Ponnampalam-Gopalakrishnakone/publication/36789083_Current_status_of_herbal_and_their_future_perspectives/links/00463517f1387287fe000000/Current-status-of-herbal-and-their-future-perspectives.pdf?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19,Juniperus communis.jpeg,
Justicia gendarussa,"Willow-leaved justicia, Nili nirgunthi",Breast cancer,"Triterpenoid, phytosterol","β-Sitosterol, Lupeol, Friedelin",Entire plant,Throughout the river beds of Southern India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Justicia gendarussa.jpeg,
Justicia procumbens,"Water Willow, Karambal,Pitpapada, Kalmashi",Human bladder cancer,Lignan,"Justicidin A, B",Leaves,"Manipur, Uttarkhand, Gujarat, and Tamil Nadu",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Justicia procumbens.jpeg,
Kaempferia galanga,"Aromatic ginger, Sand ginger","Human colon cancer, cervical cancer, breast cancer",Flavonoid,"Kaempferol, p-methoxycinnamic acid",Rhizome,"Kerala, Manipur, Meghalaya, Assam, Arunachal Pradesh, Andhra Pradesh, Karnataka, West Bengal, Odisha",https://doi.org/10.1016/j.jep.2020.112667,Kaempferia galanga.jpeg,
Knema angustifolia,Wild nutmeg,Lung cancer,"Coumaric acid derivative, phytosterol","Norviburtinal, β-Sitosterol",Entire plant,North East and Peninsular India and Andaman and Nicobar Islands,https://link.springer.com/book/10.1007/978-981-32-9147-8,Knema angustifolia.jpeg,
Lannea coromandelica,"Indian ash tree, Moya, Wodie",Cervical cancer,"Oxanes, monoterpenes, glycoside, terpenoid ","Eucalyptol, Alpha- Pinene, Beta-pinene, Quercitrin, Carvone",Bark And leaves,"Andhra Pradesh, Karnataka, and Kerala",https://link.springer.com/book/10.1007/978-981-32-9147-8,Lannea coromandelica.jpeg,
Lantana camara,"Putus, Wild sage",Breast Cancer,Pentacyclic triterpenoids,"Lancamarinic acid, Lancamarinin, Lantanoic acid, Camaranoic acid, Lantadene A and B",Leaves,"Shivalik hills, Central India, and Southern Western Ghats",https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Lantana camara.jpeg,
Lepidium sativum,"Chansur, garden cress","Leukemia, breast cancer",Glucosinolates,"Vitamins E, C, B, A, isotiosinat, and omega-3 fatty acids","Aerial parts, seed","Madhya Pradesh, Rajasthan, Gujarat, Uttar Pradesh, and Maharashtra",https://doi.org/10.1177/2156587217696927,Lepidium sativum.jpeg,
Ligularia virgaurea,Senecio plantaginifolius,"Kidney, lungs, breast, and skin cancer",Lanthanide,Ceremophilane,Flower,"The Alpine Himalayas, Western Ghats",https://link.springer.com/book/10.1007/978-981-32-9147-8,Ligularia virgaurea.jpeg,
Linum usitatissimum,"Flaxseed or linseed, alsi",Breast cancer,"Glycosides,phytoestrogens, lignan",Cynogenetic glycosides,Seed,"Uttar Pradesh, Madhya Pradesh, Bihar, Rajasthan, Himachal Pradesh, Jharkhand, Odisha, Telangana, Karnataka, and Andhra Pradesh",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Linum usitatissimum.jpeg,
Lippia alba,"Bushy matgrass, Bushy lippia, Hierba negra, and Pitiona",Colon cancer,Imidazole,"Cardiac glycosides, Bifonazole",Stem and bark,"Assam, Ghagharaghat, Uttar Pradesh, and Pusa",https://link.springer.com/book/10.1007/978-981-32-9147-8,Lippia alba.jpeg,
Lippia nodiflora,"Jalpapli , kattathippali, neerthippali, and poduthalai",Lung cancer,Flavonoid,Apigenin,Leaves extracts,States throughout India at riverbanks,https://www.sciencedirect.com/science/article/abs/pii/S2210523912000189?via%3Dihub,Lippia nodiflora.jpeg,
Luffa acutangula,"Ridge gourd, Turai, Beerakaya",Lung cancer,Flavonoid,"Apigenin-7-glucoside, Luteolin-7-glucoside","Leaves extracts, methanolic fruit extract",South India,https://www.sciencedirect.com/science/article/abs/pii/S2210523912000189?via%3Dihub,Luffa acutangula.jpeg,
Luffa echinata,"Bindaal, Ghagarbel, Devadali ",Human colon cancer,Polyphenols,"Amariin, echinatin, saponins, hentriacontane, gypsogenin, cucurbitacin B",Fruits and leaves,"Bengal, Gujarat and Uttar Pradesh",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Luffa echinata.jpeg,
Lycopersicon esculentum,"Tomato, tamatar",Lung cancer,Tetraterpenoid,Lycopene,Leaves,"Andhra Pradesh, Madhya Pradesh, Karnataka, Gujarat, Odisha, West Bengal, Maharashtra, Chhattisgarh, Bihar, Telangana , Uttar Pradesh, Haryana and Tamil Nadu",https://link.springer.com/chapter/10.1007/978-3-642-29974-2_13,Lycopersicon esculentum.jpeg,
Madhuca longifolia,"Mahua, Butter tree",Cervical and breast cancer,"Tannins, saponins, steroids and fatty acids", β-amyrin ,"Leaves, flowers","Central, southern, and northern plains and forests",https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Madhuca longifolia.jpeg,
Mallotus philippinenis,"Kumkum tree, kamala tree, red kamala",Leukemia,"Polyphenols, flavonoids","β-sitosterol, stigmasterol, bergenin, alpha–amyrin, 3′-prenylrubranine, kamalachalcones A, B",Root,"Andhra Pradesh, Telangana, Karnataka, Kerala",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Mallotus philippinenis.jpeg,
Mangifera indica,Mango,"Adenocarcinoma, Human breast cancer",Phenols,"Fumaric acid, 2-decyl undecyl ester, Isoheptadecanol (1-Hexadecanol, 2-methyl), Apigenin 7-glucoside , and cis-5-Dodecenoic acid, (3-cyanopropyl) dimethylsilyl ester",Kernel extract,"Assam, Manipur, Tripura, Mizoram and Meghalaya.",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Mangifera indica.jpeg,
Mappia foetida,"Amruta, kalgur or Narkya","Breast cancer,Lung, Ovarian Cancer and cervical cancer","Alkaloid, monoterpene","Comptothecin, lrenoteccan and topotecan","Leaves, bark and root","Western Ghats in Satara, Pune, Kolhapur, Raigad, Ratangiri and Jargon",https://www.researchgate.net/profile/Ponnampalam-Gopalakrishnakone/publication/36789083_Current_status_of_herbal_and_their_future_perspectives/links/00463517f1387287fe000000/Current-status-of-herbal-and-their-future-perspectives.pdf?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn21,Mappia foetida.jpeg,
Marsdenia tenacissima,Murva or moorva,Lung cancer,Phenolic monoterpenoid,Carvacrol,stem,Tropical hilly tracts of peninsular India and Vindhya ranges as well as lower Himalayan tract,https://link.springer.com/book/10.1007/978-981-32-9147-8,Marsdenia tenacissima.jpeg,
Medicago sativa,"Lucerne, alfalfa, or rijika","Melanoma, breast, prostate, and colon cancer cells","Vitamins, flavonoids, alkaloid","Triconlin, coumarin",Leaves extracts,tropical and subtropical regions of India,https://doi.org/10.1177/2156587217696927,Medicago sativa.jpeg,
